"run","learner_id","completed","steps_visited","steps_completed"
"1","ca7975a1-4a63-4640-ac4e-cb0db9d3cca2",1,0,0
"1","cb959c36-f564-4ada-b050-934c24791bb0",1,0,0
"1","80d78a1c-734e-42ad-a29c-40328f943a37",0,0,0
"1","d2399f79-1913-4e3d-97dd-cd17513cde73",0,0,0
"1","deaff34a-f35c-48e6-9d3d-5166606894ad",0,60,53
"1","3e3cedd8-408c-4d71-a263-9070752aa26e",0,19,18
"1","96b33094-28f4-4164-a055-bb6e31b92111",1,0,0
"1","9b8f5489-32ef-40d5-84a2-817207b45109",0,7,0
"1","d2c559a4-66bb-4fe4-aac3-a1bcf0b2ce99",1,60,60
"1","556aa691-8bee-4e1c-88ca-a57bf0e94596",1,60,60
"1","9860594d-433b-4ffc-ba10-f39c3b5fe757",0,0,0
"1","e204e89c-1536-4a91-a9cf-cba87cba660e",0,0,0
"1","2f936b99-2b23-4447-a743-4adfe91e041d",0,0,0
"1","bdbefbda-0350-462f-8d8a-a018943bd628",0,0,0
"1","54458605-a952-4162-8aee-7d8c9e0dff0f",0,5,5
"1","dde5aeb0-39ec-4eae-951d-15ffc951af49",1,60,60
"1","00569457-5698-467f-9198-a7fa051a4bd2",1,60,59
"1","d8eccbc4-baeb-4368-9c52-2865068d1e38",0,2,1
"1","fa950507-b04e-4949-bc69-8008294a0f0c",0,44,42
"1","b0a288cc-9130-4258-94ad-efc960d4cc79",0,30,29
"1","b94e4ef4-c1bb-4f88-8d96-6d1a5a1f0823",0,8,7
"1","75b02343-676f-41b1-b247-937b7c8f8a1c",0,21,20
"1","bc61a023-dafd-47c0-b30c-a283081ccec2",0,5,2
"1","fc8865cd-1d5b-411c-a07a-ddb85fad9796",0,13,12
"1","6192b585-d10e-4178-88d0-dadde8b47a62",0,1,0
"1","f83e23d5-2d9d-49aa-b532-4a2e8c7a73bb",1,60,60
"1","37dd8e53-27fc-4260-9df3-af130af1ec24",1,60,60
"1","53e83b0d-8a01-4dd9-86fc-4f73a219e829",0,1,0
"1","85e5cc07-e521-40e1-837f-2c1609e2e89c",0,3,3
"1","83d11202-0af1-40aa-a0b8-29279bf8f30a",1,0,0
"1","68632225-7806-4b69-9091-079894a043f9",0,4,2
"1","823711aa-13b6-4bf2-86a8-7ae4f80868e1",1,59,58
"1","93ed6744-3c50-49f0-a61f-bb5eac812cda",0,28,25
"1","82894994-f41c-440c-8674-14cae68bbda5",0,2,1
"1","98bc7f98-4204-4683-9f90-3f3443c35244",0,2,1
"1","d376d3e5-d776-431c-a6c3-a4d57eae352c",0,0,0
"1","dfeec5ed-4ab0-4644-af7a-2226b35fe2e7",0,4,2
"1","ba50caf6-a33d-4fa5-9705-b43533e81d12",0,3,3
"1","2b903e81-0361-4ebd-b93d-ba67f60ec302",0,12,12
"1","7291ab9f-e12b-4a9b-a67e-30c181364cd6",0,1,0
"1","bd6225b4-59bc-4ceb-a1a7-1ff924b68862",0,11,1
"1","755e5e23-e4c8-47b8-aabb-41589e7096d6",0,1,0
"1","db90c36a-4acb-4b93-bf94-6fcd6452e8b0",0,4,0
"1","0be82b4d-b379-44d7-9ca0-6be580701bd6",0,60,49
"1","070dae75-f565-4044-9971-ba5f0377ef00",0,5,0
"1","ca798dbd-288b-4932-a1e4-e60bcdf4ac03",1,60,60
"1","ed13cd09-3c10-410e-a2a2-cf5cef5ef2b2",0,10,7
"1","90c8dfa0-8180-469d-8cff-3a673aa301e9",0,1,0
"1","d11b9a1e-6660-4773-bdc9-3812084061bc",0,1,1
"1","70895944-542d-4f3a-8446-5a68782ead24",0,4,3
"1","f5db5238-585e-4383-b7c8-c9bfb9ca3a64",0,1,0
"1","0b8d8ff3-7c54-4f25-8fe3-bcfb00e1d558",0,57,54
"1","df9eed97-e44e-4a40-bb48-148b7a3e2856",0,3,2
"1","ee664649-0080-4cbd-9403-f5956f4de31a",1,60,60
"1","62c7adc0-d649-46c8-999a-979e5485ea89",1,60,60
"1","328863c0-4896-44f7-b0ef-90eb2c5c985c",0,1,0
"1","dbdf09f8-c2fa-4983-ad83-813364956c26",0,0,0
"1","5ed6dd1f-c27c-443d-8fec-0b95d0667c78",0,7,5
"1","3b4d30ff-0cea-4c64-b8ad-4459f6dc981f",0,1,0
"1","96f1634d-debf-4633-99a4-282fce771c96",0,4,2
"1","2ca39bbb-b95d-42af-b1f4-9fb2588c8a87",0,4,3
"1","204dd033-761f-46eb-9d14-ab70cd5810b8",0,2,0
"1","067bce5c-03a2-430a-83a1-3d7b9382f20c",0,2,1
"1","b22ab1bf-a7a0-4598-bcb6-32ca92e8f4b3",0,18,18
"1","d98d9454-ee1a-424a-a50c-a7180a38a192",0,1,1
"1","e998273a-66f3-48d2-b9c0-5c0d26e1b66d",0,35,34
"1","e6ab79c2-bfb8-4dd7-9a5a-136df4bdd877",0,5,0
"1","be8c88df-8721-4b4f-9387-9d3f0eda6c33",0,1,0
"1","e1ebd4a7-b517-4214-a4bb-9b03331cc8fb",1,60,60
"1","464659e3-ff4b-4482-9a00-521b06ef4a65",0,9,7
"1","8dca4ea2-ded6-4045-b26f-0b7d4571407a",1,60,60
"1","6f6f6adf-6441-47b3-9d89-7e0ff8987237",1,60,60
"1","e4c9ddb3-0039-47b1-bc2c-69036927ec17",0,0,0
"1","8a523e06-4a41-4840-8e9d-e0ef2da386aa",0,0,0
"1","477cf0c9-bbee-45aa-b31f-9f87b087c923",0,0,0
"1","7a98384e-ed14-4c05-b597-4c23c12cbb85",0,1,0
"1","352ce966-1fbb-4d41-8508-c15f74e7880d",1,60,60
"1","eb8f0a84-bde1-4a17-b9f9-a3cf524ba73b",0,2,0
"1","764a1155-54f4-4071-8687-3cb0c9ee3208",0,1,0
"1","15ed8664-a858-46b5-8c9c-75dba5b8fca8",0,0,0
"1","33338bc8-7e53-4592-8043-0ed6e47818a2",0,0,0
"1","4a19b650-cf7f-43ea-9774-e65bff8f74a0",0,2,0
"1","2065487e-21bc-4e79-9de3-98e9256d96a9",0,0,0
"1","a6df7d0d-8569-42e1-8734-e9f1ed3fcf09",0,0,0
"1","c48f3bbe-f808-4691-abc1-1c907fe9f03d",0,4,3
"1","04faf3a7-84a2-46ac-a85d-6948e5a3400e",0,2,0
"1","5f73646d-5b42-4534-a12a-4daea37e7d41",0,3,1
"1","0f24d3dd-8fbb-45f6-939c-bbb17afa95d7",0,6,0
"1","875aeacc-802f-4711-9b8f-0635d5458ac2",0,6,5
"1","f5fe42b9-d535-4cc5-bdbc-1309751654f2",0,39,39
"1","313138cd-f5f6-477e-8e2b-45bd655d5c89",0,3,1
"1","fcb2de67-fd87-42be-b83e-14cbc67dba4f",0,13,11
"1","cc2ae47c-6172-47e5-8e9e-d9a8214bd43e",1,29,28
"1","9d774da9-48e2-4c88-887d-07e6e07cf11a",0,33,31
"1","3979d48a-ccde-473f-8d40-d397cc8c9041",0,1,0
"1","9afa7f9e-09c3-43dc-96c9-160ef2a2ef27",0,0,0
"1","eecdfd32-6379-4aac-aff9-a43a034e2040",0,0,0
"1","0f5cd9b6-414c-47ae-9f3d-dcf5fde83c32",1,60,60
"1","1e504991-85bd-4e65-8089-1dbc7e36fd94",1,60,60
"1","b880f730-fbbb-480c-8270-844f32a53b72",0,0,0
"1","ab8e2276-52ad-43ff-97d1-4d2e292c93aa",0,1,0
"1","ef806ff5-322d-4ffe-b598-b029da87d808",1,60,60
"1","92d38f98-00c9-450c-8d71-578a3582ffdd",0,0,0
"1","79e4f944-1bc5-47e4-b6fa-7c49747f1a4d",0,0,0
"1","e054fd8b-9748-41b9-a8ef-66c575fda056",0,1,0
"1","d0964291-fe50-44f2-84ff-93eeecfcbcb5",1,60,60
"1","a89fb320-9869-4daa-bf78-56ba46fd7dca",0,1,0
"1","acbf650d-3e3d-4a80-ba8e-7766d2f62064",0,0,0
"1","e380c20f-6af2-4296-ba82-d2ed1e576a30",0,17,17
"1","6b105479-febc-4adc-be3f-f51a62dc414d",1,4,4
"1","c1c1994c-3999-4b5e-bab0-9ad7105ab7ed",0,1,0
"1","3c49ce64-5ab9-4270-9b81-cf3dca599fdd",0,0,0
"1","1133f78b-9fa9-4b46-98e8-7bb52554b755",0,29,28
"1","b0ef3f84-caf4-4ed3-aea1-26356252a4fb",0,1,0
"1","dc9424f4-f507-46de-beb4-e7a6ef788061",0,24,0
"1","03ac0ef1-1e5f-4aee-9c95-e1a5d080365b",0,1,0
"1","1247ba03-81f6-4403-8f41-5ba1996b0a10",1,60,60
"1","20cdb74e-2a85-422f-8e9c-73cee581a1a1",1,60,60
"1","f7624c3b-edaa-4f7f-931b-7968e6458d48",0,1,0
"1","13e5f494-3041-4796-94eb-901b262d9efa",1,60,60
"1","657ad9f3-2ecd-47c0-9230-b8122deaeec0",0,21,13
"1","33e6e4dd-b30c-4c92-acfc-9c3c5e719005",0,2,0
"1","bbd00d22-2db1-4419-978e-809685186a96",0,0,0
"1","4753fbf1-fec4-4ead-83f4-11056f007972",0,0,0
"1","e38893c5-c08a-4cd9-9715-8a338f644583",0,0,0
"1","5ee2c17c-0324-4df5-b3dc-07807d21ef07",0,0,0
"1","abecb24f-4735-4d4e-9424-cccf438603c9",0,18,17
"1","6ee55012-b599-49d3-9f1d-8780ad49a31d",0,1,0
"1","20d26510-3485-442d-ac78-dc447edbb8c3",0,2,0
"1","62b1f1b9-b0c9-45d8-a85b-271cb1ed7f1f",0,2,0
"1","537ad8ef-cfb1-4a82-b529-aeeb7cf8d19b",0,1,0
"1","90afa7b8-e2d6-43e2-8b11-914c31fce937",1,60,56
"1","572b0a06-83ef-4866-a707-efacc5d423d9",1,39,38
"1","6ed45240-50de-4789-8144-0c45f862eceb",0,19,18
"1","8f7b88b5-6e98-465a-84f6-8110a8a62c95",0,9,8
"1","4039e828-6c8c-40b4-82b8-bd6cafda31ff",0,8,7
"1","08e8419b-1105-4255-91d2-61ee597d1a55",0,3,1
"1","54e968b8-0e0a-4b88-98ce-905f9cbd4dcd",0,1,0
"1","91cf0701-dde5-40d1-9058-1a64dbd8b5cf",0,15,12
"1","8db6392a-66d6-481c-902a-e5081e0b7e9e",0,4,3
"1","5cc2faf8-e217-4c71-a43f-4165bd63c96e",0,0,0
"1","a82ea3fa-e23a-4aa6-8e2a-6fe2391cacd8",0,1,0
"1","c4c770f1-05a0-4ee9-8e31-b78208fdd336",0,0,0
"1","666e457c-21dd-418b-84b9-cc7d454a6f21",1,0,0
"1","4fbbdff2-43f4-4858-b03b-874381a9cc05",0,0,0
"1","e75776f8-d39d-4046-97e0-1604341ed80f",0,18,14
