"run","learner_id","steps_visited","steps_completed"
"1","0693574c-0be8-4d9c-adc9-a37b877e8b8b",60,60
"1","069a1da1-2a4a-4f44-b40c-fefd3a303ef0",22,21
"1","069ce2b7-075b-40a3-9ded-483830e1034b",60,60
"1","06ab9c14-f0c2-46ba-bcc8-6662883fb5e3",5,4
"1","06b034e8-415a-4b92-a9e7-748b4384b878",4,1
"1","06cdf924-0a53-4e55-99ca-6f4b4643f9a3",2,2
"1","06e1253a-2a86-49ec-b38e-6f21d889e6eb",60,60
"1","06e84531-961f-468a-a3dd-7c1c754b2ca5",60,59
"1","06f87c05-5444-4811-b129-6d59518e47e2",18,18
"1","06ff4b7c-7179-4d97-8bff-815310d82b88",60,60
"1","070dae75-f565-4044-9971-ba5f0377ef00",5,0
"1","070dc5f1-16b4-4619-9860-7da53f808349",3,0
"1","0711affb-dc90-4e0a-9438-5a729e926db6",60,60
"1","0722992c-fda5-406f-b991-e00e477ba423",1,0
"1","0722baea-aa14-41fc-af29-070c83eea9da",5,2
"1","07314f11-af1c-48c2-a88a-45f16363294b",60,60
"1","073735cf-fe05-4f6f-8d93-895844b4f260",2,1
"1","0739f7ed-8c4a-4e74-afe3-a9a29469d9ff",1,0
"1","073f2f87-1799-4c66-ac6f-ea93920ad40b",1,0
"1","073f43dc-b8c3-4c60-9bab-409d080408ba",18,18
"1","0751ca22-ad59-4f99-a82d-1b0d4883dd1a",31,30
"1","0758f423-9f9b-476c-9dc7-c964c763610a",56,55
"1","076afd74-0f07-483d-8df3-d04bc5aa9349",60,56
"1","076fcc94-51a7-410e-908c-69591e045784",60,43
"1","077444ba-2579-4a4e-b83b-138e69af30cc",60,60
"1","0775c978-3182-4104-acac-9f3fcb7c310f",2,1
"1","078aeaf3-399d-47f3-a53e-6cc3c6f7bd36",4,3
"1","079ab9e8-5756-4c9e-9bfc-abbadd883d4d",18,0
"1","07aa003a-160f-41ee-b80d-b888cbc326ea",12,11
"1","07aa0724-576b-4bf1-be29-cc8b17bea6bd",18,18
"1","07aaff5e-374d-4718-9ed9-9ff841c0a9ec",60,60
"1","07b68181-e65a-44f1-a8f5-d2a78a9447ed",12,12
"1","07b6e44e-dbc6-4a90-b96b-4841b54d837f",4,4
"1","07c675c3-5256-4995-8006-162731a2b1f1",3,1
"1","07d3027f-b7d5-4e11-a9e2-19fa355870e5",37,32
"1","07da73a1-c2c6-4b78-be2c-fbc61c062b6e",5,1
"1","07e75a51-94dd-4eda-aba6-41f7de7fa9ae",3,0
"1","07f38868-cf1b-44e8-97e0-810c964c29fd",4,3
"1","07fa8da8-ba23-41bc-a3b1-298f7c445891",12,10
"1","081abbba-a5a9-4b48-9600-3a05a1b6d8c7",60,57
"1","0826c9fc-8e49-4d5e-b5a5-91b9bbea4ad4",21,18
"1","08297fef-eda4-4810-a387-78d5b30e00c0",43,0
"1","082e172a-1494-4625-84c2-4929bd6506d8",29,29
"1","0833f068-4669-453c-aaa7-0c131faeaa46",60,60
"1","08373bb6-4fe5-42e8-add2-0a03863cc98f",1,0
"1","083b0eff-693a-4105-8526-e677dbdde21f",4,0
"1","083f8bd5-12cf-411f-9bd7-74a75231b7bc",60,60
"1","084a0442-6bd6-47c4-9d26-cfdcf6f4db47",1,0
"1","085374df-0cf0-4e8f-8fd4-d47c0a718390",42,39
"1","0854a15f-39b9-4116-8b0c-0709600376b7",17,16
"1","085cdd13-7349-4330-be37-c99147ab14ca",5,5
"1","085eb028-e6bd-4e0e-8a52-bdf6c04073b0",4,3
"1","085f286e-7707-497a-9f2f-ef3d2b6adb9f",4,0
"1","086830d6-60b9-4a59-9201-93dff3137284",2,0
"1","086e3739-3bcb-42ad-9324-eea88b3dfeb6",1,0
"1","08768cab-0b0f-4147-a119-5cb3e1fcf37f",58,56
"1","0894128c-8605-4017-a39f-a013fd1d8628",2,0
"1","089684fb-5148-445d-98b4-28ae78dcb253",60,60
"1","089f59d3-4e11-4ad6-974a-ce985ce29190",9,2
"1","08a65f57-5bcd-44f6-9a2a-a46d564b6954",1,0
"1","08baf6e3-38f6-4058-aa57-96878e316df4",4,0
"1","08bbd61f-97bd-4832-8978-ee65e17b7b23",1,0
"1","08bf8133-1619-4099-b82d-b0b80f169bfa",9,8
"1","08c4c0d0-8182-4866-a60f-7380c8b0c5a4",60,60
"1","08d8d76d-90f2-4417-8be6-66be89cb196a",48,44
"1","08e607cd-eba7-40fb-a699-d2af87b04748",4,3
"1","08e8419b-1105-4255-91d2-61ee597d1a55",3,1
"1","08ecf562-e1c6-4aae-9dfc-ecfdb5fcacb9",45,44
"1","0910cbae-bd74-4bce-9fea-f72041dddb0e",60,60
"1","0919c155-b816-47c9-a2d8-0f67934ea877",51,49
"1","091b7de3-b4d6-413d-a3c4-e6a4cdd428e9",57,55
"1","0926d51e-b347-429e-a471-f90a9f8ae4d7",5,5
"1","0932c879-d049-4047-ab8c-506648bd7ba5",60,60
"1","09358254-4b57-420f-a507-623524c66b60",1,0
"1","09371b89-be0f-4a97-b7ce-949037a4cf19",5,3
"1","093a152b-15dd-49da-b5fd-a9fa330ef971",4,3
"1","093fabcf-5c07-4264-81f8-75207d2bfd55",60,60
"1","09510004-0159-4910-8e26-d5caf96b47df",24,24
"1","0967118f-75d8-42d9-bc75-c4a339116f3c",1,1
"1","096d45f3-177d-4935-8aef-53942cbb596e",2,1
"1","096d730c-ddf4-445a-8a7a-653a47a18c9a",1,0
"1","096dfca3-422e-47dd-8210-570f7d67845d",18,18
"1","097e3161-f8e3-4552-9879-ce9a40bcbe83",4,3
"1","099ab91d-9b68-4bdb-ad6e-91f08e6c297c",60,60
"1","099abcd7-d89a-480b-950f-b909259979e9",3,2
"1","09ac794f-431d-44ac-a993-5721a61dbf54",6,5
"1","09c4096c-1f21-48c4-a556-47bfd02d69a3",3,2
"1","09c52f8f-8f28-44e5-a267-7c2278fc2861",22,19
"1","09c97ee2-6baf-4f4a-a139-56857ac7cdc8",1,0
"1","09d31f00-e95e-40e3-81c2-a54456ced7f3",60,60
"1","09f229fa-4bc7-4eba-abba-affd1497c5c0",12,11
"1","09f3a66c-a588-44f0-a1ed-3d458e0f9a95",13,11
"1","09faa8fc-3c95-4d18-8180-5d58360fe58a",21,19
"1","0a39ff77-e610-4a36-8ce0-c73418d690a8",5,4
"1","0a3bba42-6e8c-496e-9c6e-70cf7a688244",1,0
"1","0a41e9ff-02a1-4022-92e9-5d2531dc117c",5,4
"1","0a436b0c-3f2e-4ad9-a031-20a15d8bc13d",1,0
"1","0a50f36c-7b05-4383-bcbc-00de916d1ccf",60,60
"1","0a51257c-8054-47c5-b695-a198239d3999",16,11
"1","0a6ae7f3-aaab-430c-8d8b-baef3974f4e5",1,0
"1","0a76fdb9-218b-47c3-9b21-5e21ef85eb0c",27,27
"1","0a883de9-20e4-4fa5-8bc0-0ca91da6055f",47,46
"1","0a900e3f-df5b-41bb-a2c2-979973e353fb",60,60
"1","0aa3fce7-b01c-4f95-9e54-2254f1957aba",11,11
"1","0ab4ac13-2f26-4bf7-bb38-56d22f668389",60,60
"1","0ab88285-15ec-4bb3-84fd-059cdc635884",2,0
"1","0abb6e8c-0c7f-4f1f-8983-6b64637b9515",5,5
"1","0ac03e21-bbab-478f-b6ef-5d4047de74dc",1,0
"1","0ac2197c-64e7-4f33-8ac8-f920b82f1835",60,60
"1","0ad6ffa6-d7b3-492f-80be-312b78e220bc",1,0
"1","0aeae859-b53b-4739-83c8-683bcb0c2d90",10,8
"1","0b02f55e-632c-4219-b908-01b654cfebba",34,33
"1","0b0f2a0e-3ce2-48ba-a9b6-6d30b1f26ca0",46,42
"1","0b107028-d7e2-4d3f-a3c6-d17b69297a72",2,0
"1","0b1085df-aaa4-4ad0-95e9-e306bd594778",14,13
"1","0b13dae6-9927-46de-9df4-1f834331dc26",1,0
"1","0b1b11de-2006-4933-9402-36e772f3bee9",60,60
"1","0b1b5656-fd71-48b6-a327-9544e5fcaeea",60,60
"1","0b23a311-a3d6-45c7-8484-4e54300fdf54",8,7
"1","0b2acff3-7522-4030-b1db-9e59332dfed6",4,0
"1","0b3241b1-2bbb-40fe-8a84-35edff2f7adb",60,60
"1","0b3a83c0-f0e8-49fc-a48d-8a5c5a5909c4",2,1
"1","0b3e4241-e199-4072-88d5-41ce674a8c4c",41,41
"1","0b3e81ab-b7f4-4c94-879e-e8ab0eb7344e",39,37
"1","0b42b909-b1e7-44de-887e-688684c52e19",18,18
"1","0b5a2d0b-fd4a-4f13-96b4-e9610e2ba7d4",1,0
"1","0b6dc2e8-158a-49ae-8f56-3e3e68adea83",19,18
"1","0b741664-e1ee-456b-973b-4aac2cfdca86",12,11
"1","0b76f8e4-6771-4109-9356-df3815d26748",3,3
"1","0b7b8984-4e23-4292-b4dc-281b738a571a",49,49
"1","0b7fee55-4b15-413e-8624-02a0fd52e070",49,49
"1","0b8638af-eb40-48cc-8107-2d81fddfd6bf",60,60
"1","0b8d8ff3-7c54-4f25-8fe3-bcfb00e1d558",57,54
"1","0ba06c1c-a633-472c-b6a8-c4edc263d6a6",59,57
"1","0ba9479e-293c-4dcb-b167-bf5ec04e6233",60,60
"1","0bc6d124-0eff-4fe0-867b-a19f872bfe7d",39,39
"1","0be82b4d-b379-44d7-9ca0-6be580701bd6",60,49
"1","0c0588dc-a569-40db-9624-94836ee02e09",18,18
"1","0c29f0a4-be9f-458a-b8eb-6dd09b39518b",2,0
"1","0c398651-1df5-42cf-ac66-dd7b49a557f9",10,9
"1","0c407f1a-d8c7-4431-a0e3-b69897912fdb",2,1
"1","0c438121-fe1f-466c-9e83-a0f630a2497b",1,0
"1","0c4c2e76-ce54-4f83-9287-f986b8f3bdbd",18,16
"1","0c694192-77ff-4f6a-b966-824be0eb3d4a",10,8
"1","0c6a7a50-57cf-4fce-a4bf-b11290338d8f",22,21
"1","0c7e3962-e503-42e9-91e3-f2345c730940",2,0
"1","0c918052-f478-4880-9cef-51344793dbfb",10,9
"1","0c93b5c2-1da7-4bdc-a8a7-f9ed9385ae2c",3,1
"1","0c9837c2-52a1-411c-b224-8d06d95930f0",18,18
"1","0c9a072f-cfd3-47a4-83b8-6f476a232ec1",51,8
"1","0cb4822d-9815-45e7-bd46-d16bccb59281",60,60
"1","0cb82334-0f7b-4878-94b4-3ff5473258c3",18,16
"1","0cb9f93e-7975-40ca-b6ab-e690aee7f088",3,0
"1","0cd87706-4683-4f34-9a22-0b65aacfdca6",18,17
"1","0ce54001-79b3-4236-9ec2-dc48964585e3",60,60
"1","0cee03d9-0e03-46db-8a5e-cc22383f29a2",3,0
"1","0ceedbe6-d146-4448-8b8c-e8d4a750efb5",16,12
"1","0cf4dc46-0762-4f39-9203-83ec18ef8f02",1,0
"1","0d00dc24-4037-4bb2-8737-7650a3ad0f48",60,60
"1","0d024320-1194-4bdd-971f-6c05222d1652",1,0
"1","0d0b5f12-cf74-4b96-b597-7e8045a00166",2,0
"1","0d0c8f1b-1bb1-429c-aaed-8d41a53d42bc",60,57
"1","0d1a1c39-40ad-496d-933e-a345a1feed60",21,19
"1","0d271017-8904-42a4-8d15-a492d617b5a8",1,0
"1","0d2a0f8c-b653-42e1-ace0-2bd80c1fb735",18,16
"1","0d4f4cbb-89d3-4555-a563-e9c5809f17a8",60,60
"1","0d50a7df-6502-4c74-a514-afa02c5ebaa5",60,60
"1","0d61a4b9-83ef-492b-aebe-4ad3aaa0d1e8",8,7
"1","0d79b9ba-db24-4440-b3bf-2c36cc3d72ad",60,60
"1","0d7a0e41-020b-4043-ad4f-9c913b75268a",60,59
"1","0d899865-8541-4489-9efd-6396bc2e6a76",1,0
"1","0d8e3324-bb8a-4d9b-ae7b-3890500c5889",11,5
"1","0d9365a6-f15d-4cbe-9a37-8a3e8b297333",2,0
"1","0d949de8-1362-44cd-979d-a01787b8ce2f",46,43
"1","0db21f30-1e9b-4f9c-bd34-827edccd3760",3,0
"1","0db3f99b-23ef-46cd-807a-5daedb9484c4",4,1
"1","0dd7009c-cbfa-4ffa-951b-b1e42a0e1790",1,0
"1","0dd8d0e6-9f0e-489a-93c8-f291456e5473",9,6
